Rk,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
1,Morocco,Eastern Mediterranean,1164135,3153.935,479,1.298,83,16061,43.513,0,0,0
1,Bulgaria,Europe,1147165,16502.452,4467,64.26,886,36740,528.52,104,1.496,10
1,Singapore,Western Pacific,1145121,19573.574,25702,439.325,4552,1307,22.341,32,0.547,4
1,Croatia,Europe,1109847,27348.494,6185,152.409,699,15702,386.924,68,1.676,8
1,Cuba,Americas,1097675,9691.112,3999,35.306,342,8519,75.212,3,0.026,0
1,Lebanon,Eastern Mediterranean,1094911,16041.606,1360,19.925,108,10349,151.624,26,0.381,5
1,Lithuania,Europe,1045085,37403.412,9236,330.555,1515,8988,321.679,49,1.754,6
1,Tunisia,Eastern Mediterranean,1038668,8788.404,1310,11.084,1310,28509,241.221,84,0.711,84
1,Slovenia,Europe,990788,47273.555,12152,579.809,2653,7486,357.18,9,0.429,1
1,Nepal,South-East Asia,978631,3358.745,93,0.319,15,11951,41.017,0,0,0
1,Belarus,Europe,970750,10273.225,4802,50.818,307,6882,72.831,29,0.307,5
1,China,Western Pacific,949665,64.547,20671,1.405,2874,14378,0.977,538,0.037,59
1,Finland,Europe,920692,16663.228,2818,51.002,0,3334,60.341,0,0,0
1,Mongolia,Western Pacific,920044,28064.753,332,10.127,0,2108,64.302,0,0,0
1,Bolivia (Plurinational State of),Americas,903477,7739.873,872,7.47,0,21899,187.604,2,0.017,0
1,United Arab Emirates,Eastern Mediterranean,894286,9041.958,1572,15.894,316,2302,23.275,0,0,0
1,Uruguay,Americas,894267,25743.711,4127,118.806,358,7183,206.781,14,0.403,1
1,Ecuador,Americas,865263,4904.27,2912,16.505,0,35508,201.258,59,0.334,0
1,Costa Rica,Americas,844892,16585.639,4234,83.115,3549,8357,164.052,37,0.726,30
1,Guatemala,Americas,835425,4663.123,4276,23.868,87,17379,97.005,50,0.279,2
1,Latvia,Europe,809917,42455.712,5629,295.071,938,5677,297.587,35,1.835,8
1,New Zealand,Western Pacific,793740,16460.009,64976,1347.426,9542,497,10.306,93,1.929,14
1,Azerbaijan,Europe,792289,7814.137,186,1.834,36,9703,95.698,3,0.03,0
1,Panama,Americas,767067,17777.715,1730,40.095,136,8177,189.512,5,0.116,1
1,Saudi Arabia,Eastern Mediterranean,752078,2160.283,782,2.246,135,9060,26.024,10,0.029,2
1,Sri Lanka,South-East Asia,662748,3095.037,406,1.896,31,16494,77.027,8,0.037,2
1,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,656617,12871.275,330,6.469,0,5656,110.871,1,0.02,0
1,Paraguay,Americas,648446,9091.378,93,1.304,0,18734,262.655,3,0.042,0
1,Kuwait,Eastern Mediterranean,630641,14767.135,729,17.07,99,2555,59.828,0,0,0
1,Myanmar,South-East Asia,612460,1125.643,381,0.7,54,19434,35.718,0,0,0
1,Dominican Republic,Americas,578626,5333.986,307,2.83,56,4375,40.33,0,0,0
1,Estonia,Europe,565839,42577.067,4616,347.335,626,2501,188.19,22,1.655,3
1,Bahrain,Eastern Mediterranean,561065,32973.275,3678,216.153,513,1473,86.567,1,0.059,0
1,Venezuela (Bolivarian Republic of),Americas,521546,1834.109,641,2.254,75,5696,20.031,9,0.032,1
