Ukraine,UKR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.473,69.608
Upper middle income,UMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.7754178,67.56717082
Uruguay,URY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.426,95.515
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.459,82.664
Uzbekistan,UZB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.433,50.416
St. Vincent and the Grenadines,VCT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.614,53.032
"Venezuela, RB",VEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.24,88.279
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.116,48.515
Virgin Islands (U.S.),VIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.832,95.939
Vietnam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.628,37.34
Vanuatu,VUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.394,25.525
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.72043125,56.15634855
Samoa,WSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.056,17.889
Kosovo,XKX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,
"Yemen, Rep.",YEM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.273,37.908
South Africa,ZAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.856,67.354
Zambia,ZMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.072,44.629
Zimbabwe,ZWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.21,32.242
